Nombre
Lionel Messi
Zeno Debast
Axel Witsel
Aster Vranckx
Matz Sels
Christian Pulisic
Weston McKennie
Matt Turner
Antonee Robinson
Chris Richards
Tim Ream
Joe Scally
Tyler Adams
Yunus Musah
Giovanni Reyna
Folarin Balogun
Timothy Weah
Ricardo Pepi
Brendonson Aaronson
Josh Sargent
Haji Wright
Cameron Carter-Vickers
Miles Robinson
Johnny Cardoso
Ethan Horvath
Santiago Giménez
Edson Álvarez
Guillermo Ochoa
Jorge Sánchez
César Montes
Johan Vásquez
Jesús Gallardo
Luis Chávez
Orbelín Pineda
Uriel Antuna
Hirving Lozano
Julián Quiñones
Henry Martín
Roberto Alvarado
Carlos Rodríguez
Luis Romo
Gerardo Arteaga
Kevin Álvarez
Erick Sánchez
Luis Malagón
Federico Valverde
Darwin Núñez
Sergio Rochet
Nahitan Nández
Ronald Araújo
Mathías Olivera
Manuel Ugarte
Rodrigo Bentancur
Nicolás de la Cruz
Facundo Pellistri
Maximiliano Araújo
José María Giménez
Matías Viña
Giorgian de Arrascaeta
Luis Suárez
Agustín Canobbio
Brian Rodríguez
Sebastián Cáceres
Guillermo Varela
Franco Israel
Luis Díaz
James Rodríguez
Camilo Vargas
Daniel Muñoz
Davinson Sánchez
Jhon Lucumí
Johan Mojica
Jefferson Lerma
Richard Ríos
Jhon Arias
Jhon Córdoba
Rafael Santos Borré
Miguel Borja
Yerry Mina
Kevin Castaño
Jorge Carrascal
Luis Sinisterra
Matheus Uribe
Juan Fernando Quintero
David Ospina
Achraf Hakimi
Brahim Díaz
Yassine Bounou
Nayef Aguerd
Romain Saïss
Noussair Mazraoui
Sofyan Amrabat
Azzedine Ounahi
Hakim Ziyech
Youssef En-Nesyri
Amine Adli
Ayoub El Kaabi
Sofiane Boufal
Abde Ezzalzouli
Ismael Saibari
Yahya Attiat-Allah
Bilal El Khannous
Amir Richardson
Chadi Riad
Munir Mohamedi
Luka Modrić
Joško Gvardiol
Dominik Livaković
Josip Stanišić
Josip Šutalo
Marin Pongračić
Mateo Kovačić
Marcelo Brozović
Andrej Kramarić
Lovro Majer
Bruno Petković
Ivan Perišić
Mario Pašalić
Luka Sučić
Borna Sosa
Domagoj Vida
Nikola Vlašić
Martin Baturina
Marko Pjaca
Ivica Ivušić
Takefusa Kubo
Kaoru Mitoma
Zion Suzuki
Takehiro Tomiyasu
Ko Itakura
Hiroki Ito
Wataru Endō
Hidemasa Morita
Junya Ito
Daichi Kamada
Takumi Minamino
Ayase Ueda
Ritsu Doan
Takuma Asano
Daizen Maeda
Reo Hatate
Ao Tanaka
Koki Machida
Yukinari Sugawara
Shuichi Gonda
Son Heung-min
Kim Min-jae
Lee Kang-in
Jo Hyeon-woo
Seol Young-woo
Jung Seung-hyun
Kim Young-gwon
Kim Jin-su
Hwang In-beom
Park Yong-woo
Lee Jae-sung
Hwang Hee-chan
Cho Gue-sung
Oh Hyeon-gyu
Jeong Woo-yeong
Hong Hyun-seok
Kim Tae-hwan
Lee Ki-je
Park Jin-seop
Song Bum-keun
Sadio Mané
Kalidou Koulibaly
Édouard Mendy
Ismail Jakobs
Moussa Niakhaté
Abdou Diallo
Krépin Diatta
Pape Matar Sarr
Idrissa Gueye
Lamine Camara
Ismaïla Sarr
Nicolas Jackson
Iliman Ndiaye
Habib Diallo
Boulaye Dia
Nampalys Mendy
Pathé Ciss
Fodé Ballo-Touré
Abdoulaye Seck
Seny Dieng
Alphonso Davies
Jonathan David
Maxime Crépeau
Alistair Johnston
Moïse Bombito
Derek Cornelius
Kamal Miller
Stephen Eustáquio
Ismaël Koné
Tajon Buchanan
Cyle Larin
Liam Millar
Jacob Shaffelburg
Jonathan Osorio
Mathieu Choinière
Samuel Piette
Richie Laryea
Luc de Fougerolles
Ali Ahmed
Dayne St. Clair
Granit Xhaka
Manuel Akanji
Yann Sommer
Silvan Widmer
Fabian Schär
Ricardo Rodríguez
Remo Freuler
Michel Aebischer
Dan Ndoye
Xherdan Shaqiri
Breel Embolo
Ruben Vargas
Zeki Amdouni
Kwadwo Duah
Noah Okafor
Denis Zakaria
Vincent Sierro
Fabian Rieder
Nico Elvedi
Gregor Kobel
Christian Eriksen
Rasmus Højlund
Kasper Schmeichel
Joachim Andersen
Jannik Vestergaard
Andreas Christensen
Joakim Mæhle
Pierre-Emile Højbjerg
Morten Hjulmand
Victor Kristiansen
Jonas Wind
Yussuf Poulsen
Mikkel Damsgaard
Andreas Skov Olsen
Kasper Dolberg
Christian Nørgaard
Mathias Jensen
Thomas Delaney
Alexander Bah
Frederik Rønnow
Marcel Sabitzer
Konrad Laimer
Patrick Pentz
Stefan Posch
Kevin Danso
Philipp Lienhart
Phillipp Mwene
Nicolas Seiwald
Christoph Baumgartner
Romano Schmid
Marko Arnautović
Michael Gregoritsch
Patrick Wimmer
Maximilian Wöber
Alexander Prass
Florian Grillitsch
Gernot Trauner
Leopold Querfeld
Andreas Weimann
Heinz Lindner
Hakan Çalhanoğlu
Arda Güler
Mert Günok
Mert Müldür
Samet Akaydin
Abdülkerim Bardakcı
Ferdi Kadıoğlu
Kaan Ayhan
Salih Özcan
İsmail Yüksek
Orkun Kökçü
Kenan Yıldız
Barış Alper Yılmaz
Kerem Aktürkoğlu
Cenk Tosun
Zeki Çelik
Merih Demiral
Okay Yokuşlu
Yunus Akgün
Uğurcan Çakır
Moisés Caicedo
Piero Hincapié
Alexander Domínguez
Ángelo Preciado
Félix Torres
Willian Pacho
Alan Franco
Kendry Páez
Carlos Gruezo
Jeremy Sarmiento
Enner Valencia
Kevin Rodríguez
John Yeboah
Jordy Caicedo
Alan Minda
José Cifuentes
Joao Ortiz
Jackson Porozo
Layan Loor
Hernán Galíndez
Alexis Sánchez
Eduardo Vargas
Claudio Bravo
Mauricio Isla
Paulo Díaz
Igor Lichnovsky
Gabriel Suazo
Erick Pulgar
Marcelino Núñez
Diego Valdés
Víctor Dávila
Ben Brereton Díaz
Darío Osorio
Marcos Bolados
Guillermo Maripán
Matías Catalán
Rodrigo Echeverría
Esteban Pavez
César Pérez
Gabriel Arias
